BCR	Bcr
CCR7	Ccr7
CD14	Cd14
CD19	Cd19
CD1D1	Cd1d1
CD207	Cd207
CD24A	Cd24a
CD27	Cd27
CD28	Cd28
CD34	Cd34
CD38	Cd38
CD3D	Cd3d
CD4	Cd4
CD44	Cd44
CD48	Cd48
CD5	Cd5
CD69	Cd69
CD74	Cd74
CD86	Cd86
CD8A	Cd8a
CD93	Cd93
CR2	Cr2
CSF1R	Csf1r
CXCR2	Cxcr2
EMR1	Emr1
ENPEP	Enpep
ENTPD1	Entpd1
EPCAM	Epcam
FCER1G	Fcer1g
FCGR3	Fcgr3
FLT3	Flt3
FOXP3	Foxp3
ICAM1	Icam1
IL2RA	Il2ra
IL2RB	Il2rb
IL7R	Il7r
ITGA2	Itga2
ITGAE	Itgae
ITGAM	Itgam
ITGAX	Itgax
KIT	Kit
KLRA3	Klra3
KLRA8	Klra8
KLRB1C	Klrb1c
LY6A	Ly6a
LY6C1	Ly6c1
LY86	Ly86
NCR1	Ncr1
NT5E	Nt5e
PDCD1LG2	Pdcd1lg2
PDGFRA	Pdgfra
PDPN	Pdpn
PECAM1	Pecam1
PTPRC	Ptprc
SDC1	Sdc1
SELL	Sell
SIGLEC1	Siglec1
SIGLEC5	Siglec5
SLAMF1	Slamf1
SPN	Spn
THY1	Thy1
